CO_CNES,Razao_Social,Nome_Fantasia,CO_CEP,Cidade,UF,estado_municipio.1,LAT,LONG
2829398,PINHEIRINHO MEDICAMENTOS LTDA,FARMACIA SUPER POPULAR,81870010,Curitiba,PR,PR,-25.4195,-49.2646
2834871,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIA PAGUE MENOS,60841032,Fortaleza,CE,CE,-3.71664,-38.5423
2859939,FARMACIAS OLIVEIRA LTDA,FARMACIAS AGEU,45012238,Vitoria da Conquista,BA,BA,-14.8615,-40.8442
2845423,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,87023060,Maringa,PR,PR,-23.4205,-51.9333
2854198,CIA LATINO AMERICANA DE MEDICAMENTOS,FARMACIA PRECO POPULAR,89990000,Sao Lourenco do Oeste,SC,SC,-26.3557,-52.8498
2887533,PREFEITURA MUNICIPAL DE RIALMA,AMBULANCIA UTI MOVEL,76310000,Rialma,GO,GO,-15.3145,-49.5814
2915413,P F OLIVEIRA DROGARIA E PERFUMARIA EIRELI,MEDICENTER,93180000,Portao,RS,RS,-29.7015,-51.2429
2910535,CIA LATINO AMERICANA DE MEDICAMENTOS,DROGARIA CATARINENSE,89801023,Chapeco,SC,SC,-27.1004,-52.6152
2843080,F DE BRITO MOREIRA FARMACIA EIRELI,NOVA FARMA,85906450,Toledo,PR,PR,-24.7246,-53.7412
2849402,DROGARIA BIGFARMA LTDA,BIGFARMA,83040420,Sao Jose dos Pinhais,PR,PR,-25.5313,-49.2031
2944243,PREFEITURA DE SAO VICENTE DO SUL,FARMACIA BASICA FARMACIA DE MEDICAMENTOS ESPECIAIS,97420000,Sao Vicente do Sul,RS,RS,-29.6882,-54.6826
2946777,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO 2341 AMERICANOPOLIS,4428010,Sao Paulo,SP,SP,-23.5329,-46.6395
2948133,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,92990000,Eldorado do Sul,RS,RS,-30.0847,-51.6187
2854155,FARMACIA WALDOMIRO LTDA,FARMACIA WALDOMIRO,85884000,Medianeira,PR,PR,-25.2977,-54.0943
2853116,MARIA JESSICA NATALIA GUIMARAES,DROGARIA TRES IRMAOS,37465000,Virginia,MG,MG,-22.3264,-45.0965
966932,FARMACIA E DROGARIA SOBERANA ALVORADA LTDA,REDE DROGARIA SOBERANA,85601480,Francisco Beltrao,PR,PR,-26.0817,-53.0535
984442,R B COMERCIO DE MEDICAMENTOS E SERVICOS A SAUDE HUMANA LTDA,FARMACIA SUPER POPULAR,86755000,Angulo,PR,PR,-23.1946,-51.9154
2835541,COMERCIO E MEDICAMENTOS LANCAPI LTDA,FARMACIA ATLANTA,29215020,Guarapari,ES,ES,-20.6772,-40.5093
2925788,COMERCIO DE MEDICAMENTOS BONIATI LTDA,FARMACIA PEJUCARA,98270000,Pejucara,RS,RS,-28.4283,-53.6579
2941589,EMPREENDIMENTOS FARMACEUTICOS GLOBO LTDA,DROGARIA GLOBO,65930000,Acailandia,MA,MA,-4.94714,-47.5004
2943662,EMPREENDIMENTOS FARMACEUTICOS GLOBO LTDA,DROGARIA GLOBO,41900335,Salvador,BA,BA,-12.9718,-38.5011
2849909,ALLEVIARE CLINICA DE ESPECIALIDADES LTDA,ALLEVIARE ESPECIALIDADES,44076200,Feira de Santana,BA,BA,-12.2664,-38.9663
2897067,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,91310003,Porto Alegre,RS,RS,-30.0318,-51.2065
2868210,PHARMACIA TRADICAO LTDA,PHARMACIA TRADICAO LTDA,37488000,Olimpio Noronha,MG,MG,-22.0685,-45.2657
2901579,BIOMED DROGARIA LTDA,BIOMED DROGARIA,38160000,Nova Ponte,MG,MG,-19.1461,-47.6779
2896486,DROGARIA PRONTOFARMA LTDA,DROGARIA PRONTOFARMA LTDA,96020000,Pelotas,RS,RS,-31.7649,-52.3371
2905981,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS,60175070,Fortaleza,CE,CE,-3.71664,-38.5423
2930773,CENTRAL DE ABASTECIMENTO FARMACEUTICO CAF,CENTRAL DE ABASTECIMENTO FARMACEUTICO CAF,88140000,Santo Amaro da Imperatriz,SC,SC,-27.6852,-48.7813
9038701,PREFEITURA MUNICIPAL DE TOCANTINOPOLIS,UPA MURILO BAHIA BRANDAO VILELA DE TOCANTINOPOLIS,77900000,Tocantinopolis,TO,TO,-6.32447,-47.4224
9042997,MUNICIPIO DE PETROLINA,UNIDADE MOVEL DE ATENDIMENTO MEDICO II,56304020,Petrolina,PE,PE,-9.38866,-40.5027
9039503,MUNICIPIO DE ITINGA,FARMACIA DE MINAS DE ITINGA,39610000,Itinga,MG,MG,-16.61,-41.7672
9026770,MUNICIPIO DE SAO MIGUEL DO IGUACU,CAF CENTRAL DE ABASTECIMENTO FARMACEUTICO,85877000,Sao Miguel do Iguacu,PR,PR,-25.3492,-54.2405
9019758,CTEC CENTRO DE TREINAMENTO EMPRESARIAL CHRISTUS LTDA,AMBULANCIA CHRISTUS,60160196,Fortaleza,CE,CE,-3.71664,-38.5423
9238107,GILMAR L SCHERER CIA LTDA ME,FARMACIA SAO FRANCISCO,85628100,Manfrinopolis,PR,PR,-26.1441,-53.3113
9146881,PRFEITURA MUNICIPAL DE SANTA QUITERIA,CENTRAL DE ABASTECIMENTO FARMACEUTICO CAF,62280000,Santa Quiteria,CE,CE,-4.32608,-40.1523
9259031,SECRETARIA MUNICIPAL DE SAUDE,UNIDADE DE SUPORTE AVANCADO USA 03 SAMU 192,26265090,Nova Iguacu,RJ,RJ,-22.7556,-43.4603
9264736,PREFEITURA MUNICIPAL DE DOIS RIACHOS,CENTRAL DE FARMACIA DE DOIS RIACHOS,57560000,Dois Riachos,AL,AL,-9.38465,-37.0965
9250255,FARMACIA POPULAR DE JARU LTDA,FARMACIA POPULAR,76890000,Jaru,RO,RO,-10.4318,-62.4788
9250425,PADANOSKI PADANOSKI LTDA EPP,FARMACIA E DROGARIA LIDER,76890000,Jaru,RO,RO,-10.4318,-62.4788
9092218,PREFEITURA MUNICIPAL DE MOMBACA,SALA DE ESTABILIZACAO DE MOMBACA,63610000,Mombaca,CE,CE,-5.73844,-39.63
9264027,SANTANA SA DROGARIA FARMACIAS,DROGARIA SANTANA,42800037,Camacari,BA,BA,-12.6996,-38.3263
9131973,MUNICIPIO DE CACHOEIRINHA,FARMACIA CENTRAL DE CACHOEIRINHA,94945000,Cachoeirinha,RS,RS,-29.9472,-51.1016
9123296,ADRIANA DE OLIVEIRA ME,FARMACIA DA ADRIANA,88400000,Ituporanga,SC,SC,-27.4101,-49.5963
9147489,SANTA PHARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMADOSE,70390700,Brasilia,DF,DF,-15.7795,-47.9297
9131086,MUNICIPIO DE CORRENTE SECRETARIA DE SAUDE,CENTRAL MUNICIPAL DE REDE DE FRIO DE CORRENTE,64980000,Corrente,PI,PI,-10.4333,-45.1633
9174737,FARMACIA DE TODOS,FARMACIA DE TODOS,37340000,Bocaina de Minas,MG,MG,-22.1697,-44.3972
9148027,MUNICIPIO DE VITORIA DA CONQUISTA,CENTRAL DE ABASTECIMENTO FARMACEUTICA,45023320,Vitoria da Conquista,BA,BA,-14.8615,-40.8442
9163158,CURRAIS NOVOS SECRETARIA MUNICIPAL DE SAUDE,FARMACIA PUBLICA MUNICIPAL DE CURRAIS NOVOS RN,59380000,Currais Novos,RN,RN,-6.25484,-36.5146
550493,EMANUEL COMERCIO DE MEDICAMENTOS 2 LTDA,FARMACIA PRECO BAIXO,76929000,Urupa,RO,RO,-11.1261,-62.3639
644579,MUNICIPIO DE GAMELEIRA,CAF DA GAMELEIRA,55530000,Gameleira,PE,PE,-8.5798,-35.3846
648035,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,88010000,Florianopolis,SC,SC,-27.5945,-48.5477
614343,FARMACIA PLANTAO DE PAU DA LIMA LTDA,FARMACIA PLANTAO,41235000,Salvador,BA,BA,-12.9718,-38.5011
614858,DROGARIA GILEADE LTDA,DROGARIA SIAO,41280000,Salvador,BA,BA,-12.9718,-38.5011
622419,FARMACIAS PRECO POPULAR EIRELI,FARMACIAS PRECO POPULAR,41343855,Salvador,BA,BA,-12.9718,-38.5011
560049,MUNICIPIO DE JAGUARARI,SAMU DO PILAR,48960000,Jaguarari,BA,BA,-10.2569,-40.1999
531685,MUNICIPIO DE CRICIUMA,FARMACIA CAPS II AD,88818070,Criciuma,SC,SC,-28.6723,-49.3729
